Player,Country,Season,Cum Mat Total,Cum Inns Total,Cum Runs Total,Cum Batting Ave,Cum SR,player_id
A Trivedi,Luxembourg,2022,0,0,0,0.0,0.0,917f0c3f
A Turay,Sierra Leone,2022/23,0,0,0,0.0,0.0,11a22126
A Turay,Sierra Leone,2023/24,4,4,73,24.33,158.69,11a22126
A Turkmen,Turkey,2022,0,0,0,0.0,0.0,e56f4180
A Turkmen,Turkey,2023,4,4,28,14.0,96.55,e56f4180
A Turkmen,Turkey,2024,8,7,75,18.07,129.77,e56f4180
A Vala,Papua New Guinea,2015,0,0,0,0.0,0.0,72e60730
A Vala,Papua New Guinea,2015/16,3,3,73,36.5,80.21,72e60730
A Vala,Papua New Guinea,2017,6,6,116,25.41,95.23,72e60730
A Vala,Papua New Guinea,2018/19,9,9,139,19.5,88.22,72e60730
A Vala,Papua New Guinea,2019,13,11,227,31.95,98.84,72e60730
A Vala,Papua New Guinea,2019/20,18,16,263,24.78,93.52,72e60730
A Vala,Papua New Guinea,2021/22,26,24,460,25.9,102.88,72e60730
A Vala,Papua New Guinea,2022,36,34,697,26.03,107.82,72e60730
A Vala,Papua New Guinea,2023,43,41,839,25.62,116.66,72e60730
A Vala,Papua New Guinea,2023/24,53,51,1120,28.47,119.05,72e60730
A Vala,Papua New Guinea,2024,59,56,1244,28.14,117.73,72e60730
A Venkatesh,Sweden,2021,0,0,0,0.0,0.0,06b45b20
A Venkatesh,Sweden,2022,7,7,174,24.85,122.53,06b45b20
A Wright,Cayman Islands,2022/23,0,0,0,0.0,0.0,4bb7f51e
A Zampa,Australia,2015/16,0,0,0,0.0,0.0,14f96089
A Zampa,Australia,2016,6,2,7,3.5,116.66,14f96089
A Zampa,Australia,2016/17,8,2,7,3.5,116.66,14f96089
A Zampa,Australia,2017/18,10,2,7,3.5,116.66,14f96089
A Zampa,Australia,2018/19,13,3,11,3.67,122.22,14f96089
A Zampa,Australia,2019/20,22,6,23,4.83,96.4,14f96089
A Zampa,Australia,2020,30,6,23,4.83,96.4,14f96089
A Zampa,Australia,2020/21,33,6,23,4.83,96.4,14f96089
A Zampa,Australia,2021,41,7,36,6.0,105.84,14f96089
A Zampa,Australia,2021/22,50,12,44,4.33,92.04,14f96089
A Zampa,Australia,2022,62,14,47,4.14,83.18,14f96089
A Zampa,Australia,2022/23,65,14,47,4.14,83.18,14f96089
A Zampa,Australia,2023/24,72,16,48,3.75,76.95,14f96089
A Zampa,Australia,2024,80,19,54,3.63,78.33,14f96089
AA Banner,Belize,2019,0,0,0,0.0,0.0,02d11602
AA Banner,Belize,2021/22,3,2,44,22.0,151.72,02d11602
AA Gajic,Serbia,2022,0,0,0,0.0,0.0,a768a762
AA Gajic,Serbia,2023,5,1,3,3.0,60.0,a768a762
AA Gajic,Serbia,2023/24,9,1,3,3.0,60.0,a768a762
AA Gajic,Serbia,2024,11,3,14,8.33,53.33,a768a762
AA Hussein,Tanzania,2022/23,0,0,0,0.0,0.0,60ef3ddb
AA Jasani,Tanzania,2021/22,0,0,0,0.0,0.0,1fb04d31
AA Navicha,Mozambique,2021/22,0,0,0,0.0,0.0,5c805a60
AA Navicha,Mozambique,2022,2,2,25,12.5,73.52,5c805a60
AA Navicha,Mozambique,2022/23,10,7,42,15.71,69.58,5c805a60
AA Navicha,Mozambique,2023,17,10,54,12.2,60.31,5c805a60
AA Navicha,Mozambique,2023/24,20,13,76,11.92,64.53,5c805a60
AA Navicha,Mozambique,2024/25,23,15,85,11.53,66.83,5c805a60
AA Noffke,Australia,2007/08,0,0,0,0.0,0.0,b69e69ed
AA Obanda,Kenya,2007/08,0,0,0,0.0,0.0,7081491e
AA Obanda,Kenya,2008,3,3,30,10.0,55.55,7081491e
AA Obanda,Kenya,2009/10,6,6,42,8.0,50.85,7081491e
AA Obanda,Kenya,2011/12,10,8,126,16.5,77.03,7081491e
AA Obanda,Kenya,2012/13,15,13,180,15.35,102.05,7081491e
AA Obanda,Kenya,2013,17,15,214,15.57,104.08,7081491e
AA Obanda,Kenya,2013/14,20,18,292,17.31,106.73,7081491e
AA Obanda,Kenya,2019,24,22,325,15.66,105.51,7081491e
AA Obanda,Kenya,2019/20,27,25,359,15.14,106.92,7081491e
AA Obanda,Kenya,2021,30,28,381,14.3,102.39,7081491e
AA Obanda,Kenya,2021/22,36,33,493,16.38,109.5,7081491e
AA Obanda,Kenya,2022,42,39,724,20.97,115.89,7081491e
AA Obanda,Kenya,2023,45,42,733,19.68,110.08,7081491e
AA Onikoyi,Nigeria,2019,0,0,0,0.0,0.0,409ce380
